Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;3;113.1;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;4.2;31.1;0.0;32.0;11.0;19.2;12.2;0.0;3.4
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;4;307.5;5.2;28.4;0.0;0.0;13.2;15.0;7.0;27.4;14.2;7.2;17.0;0.0;0.0;2.3;0.0;4.4;10.4;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;6.0;128.4;14.1;7.0;0.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;5;91.6;17.2;0.0;0.0;5.4;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;16.4;0.0;0.0;0.3;7.7;0.0;0.0;15.2;0.0;20.4;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;6;67.4;0.0;0.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;21.4;4.0;3.0;0.0;11.2;0.0;19.0;3.4;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;7;12.1;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;8;18.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;3.0;0.0;3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;9;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;10;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;11;10.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2023;12;40.7;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;14.4;1.0;11.1;5.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;1;15.4;8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;2;375.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;86.0;0.0;12.1;0.0;9.0;6.1;0.0;22.0;34.1;4.0;9.1;0.0;22.1;0.0;0.0;102.4;3.1;33.1;0.0;888.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;3;307.5;0.0;0.0;0.0;0.0;3.0;19.3;4.0;36.3;2.2;0.0;0.0;0.0;5.0;4.1;38.2;16.0;31.0;5.4;18.0;11.0;4.0;0.0;6.2;13.1;3.3;5.0;48.3;0.0;0.0;34.1;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;4;363.9;0.0;0.0;0.0;6.0;0.0;25.1;0.0;40.3;1.3;46.1;0.0;11.4;10.4;13.2;17.2;21.3;9.3;6.1;0.0;6.0;28.3;0.0;9.0;0.0;13.0;0.0;21.4;33.1;15.3;30.1;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;5;273.0;0.0;10.4;6.1;0.0;0.0;11.4;0.0;0.0;1.0;1.0;0.0;7.0;42.2;0.0;13.0;2.3;84.1;3.3;0.0;8.1;8.4;0.0;0.0;7.0;0.0;7.4;0.0;0.0;25.1;22.0;13.2
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;6;88.5;0.0;3.0;3.3;0.0;8.0;1.4;3.1;0.0;0.0;12.0;0.0;0.0;0.0;36.1;0.0;2.0;0.0;1.0;0.0;2.3;1.0;0.0;13.3;0.0;0.0;2.0;0.0;0.0;0.0;0.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;7;11.2;0.0;0.0;1.0;3.1;0.0;0.0;0.0;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Maranguape;VICOSA 01;-3.9236666666667;-38.731805555556;2024;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
